strike,forward,adjusted_log_moneyness,lmsv_price,price_se,lmsv_delta,delta_se,implied_volatility,bs_implied_vol_delta,hedging_bias
80,102.02013400267558,0.2431435513142098,22.99981228900609,0.0003411341286372949,0.8836046067589512,1.4677888769146014e-05,0.2250607090991375,0.8835411991474951,-6.340761145617879e-05
90,102.02013400267558,0.12536051565782633,15.589812863298466,0.0005554907528627638,0.7484952855790055,1.0988530679237649e-05,0.22503179564731277,0.7484420059035423,-5.327967546320256e-05
95,102.02013400267558,0.07129329438755058,12.519131137023333,0.0006339372860300113,0.66619546135012,5.767158839613536e-06,0.22502470775920755,0.6661608751751922,-3.4586174927797586e-05
100,102.02013400267558,0.019999999999999966,9.894394523985284,0.0006812129689025648,0.5798140614614625,7.160552725000618e-07,0.2250215855178798,0.5798036345335209,-1.0426927941620256e-05
105,102.02013400267558,-0.02879016416943202,7.702538666175818,0.0006950831357282845,0.493828087955365,7.431558655305099e-06,0.22502187148776415,0.4938434030997553,1.5315144390293245e-05
110,102.02013400267558,-0.07531017980432479,5.911749739920033,0.0006781931912149632,0.41205479266148193,1.3487885777707572e-05,0.2250251003778416,0.4120938776607628,3.90849992808473e-05
120,102.02013400267558,-0.16232155679395452,3.3509696462454075,0.0005774623413198,0.2712617581658457,2.1411466504751965e-05,0.2250388819094108,0.271333461180429,7.170301458331307e-05
