spot_bump,delta_pathwise,delta_pathwise_se,delta_finite_difference,delta_finite_difference_se,delta_difference,delta_difference_se,difference_z_score
0.05,0.5446966797612146,0.002460024708642193,0.5448522954710686,0.0024579773712013623,0.00015561570985393025,6.786844748947617e-05,2.292902160139443
0.1,0.5446966797612146,0.002460024708642193,0.5449098752352368,0.0024559673779533963,0.0002131954740221873,9.791333829224552e-05,2.177389493000994
0.25,0.5446966797612146,0.002460024708642193,0.5448881333483128,0.0024499270736194952,0.0001914535870981412,0.00015621700514388995,1.225561755724322
0.5,0.5446966797612146,0.002460024708642193,0.5447730745180647,0.0024403193645404723,7.639475685004848e-05,0.00022032071520543153,0.3467434134771052
