hurst,price,price_se,delta,delta_se,implied_volatility,hedging_bias,mean_integrated_volatility,std_integrated_volatility
0.55,9.895507810807773,0.000987619623848351,0.5798157570429227,1.0397003623891397e-06,0.22505006317637177,-1.0952845256984034e-05,0.2250502318670353,0.003994474912954691
0.65,9.895123074015446,0.0009722590945210457,0.5798150160081862,1.0230693431767833e-06,0.22504022168276894,-1.0616156379761321e-05,0.22504038510905164,0.003932346777705346
0.75,9.894807638332935,0.0009563159974232982,0.5798143405531843,1.0058241847860983e-06,0.22503215289983722,-1.0272114881693106e-05,0.22503231095611934,0.0038678624259984346
0.85,9.894572781319775,0.0009398678575958306,0.5798137442173176,9.882351289197398e-07,0.22502614530436815,-9.922474262125114e-06,0.22502629793991896,0.003801335877392802
0.95,9.894490653220172,0.0009223960638986944,0.5798132901382101,9.706439139320598e-07,0.2250240444841707,-9.55465132601585e-06,0.22502419158555284,0.003730671743802569
